Data Source,Platform/Station,URN,Lat,Lon,Observations,Status
,SCCF RECON Shell Point,urn:ioos:station:SCCF:13,26.5255,-82.0032,chlorophyll,Active
,,,,,dissolvedOxygen,Active
,,,,,salinity,Active
,,,,,turbidity,Active
,,,,,waterTemperature,Active
,SCCF RECON Tarpon Bay,urn:ioos:station:SCCF:11,26.4679,-82.0631,chlorophyll,Inactive
,,,,,dissolvedOxygen,Inactive
,,,,,salinity,Inactive
,,,,,turbidity,Inactive
,,,,,waterTemperature,Inactive
Scripps Institution of Oceanography (Scripps),,,,,,
,"42084 - Southwest Pass Entrance W, LA",urn:ioos:station:wmo:42084,28.988,-89.649,waves,Inactive
,"42091 - Trinity Shoal, LA",urn:ioos:station:wmo:42091,29.087,-92.506,waves,Inactive
,"Grand Isle Outer, LA",urn:ioos:station:wmo:42093,29.0167,-89.8324,waterTemperature,Inactive
,,,,,waterTemperature,Inactive
,"Satan Shoal, FL",urn:ioos:station:wmo:42095,24.4072,-81.9668,waterTemperature,Active
,,,,,waves,Inactive
,"Pulley Ridge, FL",urn:ioos:station:wmo:42097,25.7,-83.65,waterTemperature,Active
,,,,,waves,Inactive
